time_s,temperature_C,pressure_Pa,humidity_percent
125,28.92,101766.25,42.06
126,28.93,101773.24,42.04
127,28.92,101758.36,42.06
128,28.93,101773.24,42.15
129,28.94,101769.69,42.10
130,28.94,101769.69,42.09
131,28.92,101767.11,42.07
132,28.93,101767.97,42.04
133,28.93,101775.86,42.07
134,28.93,101762.70,41.94
135,28.94,101764.43,41.77
136,28.96,101773.13,41.66
137,28.95,101771.42,41.55
138,28.94,101770.56,41.62
139,28.94,101765.29,41.69
140,28.96,101773.13,41.69
141,28.96,101767.88,41.70
142,28.97,101764.33,41.74
143,28.98,101768.68,41.69
144,28.97,101769.59,41.69
145,28.97,101765.19,41.61
146,28.99,101767.77,41.59
147,28.98,101771.31,41.59
148,28.99,101773.03,41.53
149,28.98,101766.91,41.43
150,28.99,101773.03,41.33
151,28.98,101766.05,41.29
152,29.00,101772.12,41.10
153,29.00,101769.48,41.08
154,28.99,101767.77,40.99
155,28.99,101767.77,40.92
